ID,ClusterDia1,ClusterDia2,ClusterDia3,ClusterDia4,ClusterDia5,ClusterDia6,ClusterDia7,ClusterDia8,ClusterDia9,ClusterDia10,ClusterDia11,ClusterDia12,ClusterDia13,ClusterDia14,ClusterDia15,ClusterDia16,ClusterDia17,ClusterDia18,ClusterDia19,ClusterDia20,ClusterDia21,ClusterDia22,ClusterDia23,ClusterDia24,ClusterDia25,ClusterDia26,ClusterDia27,ClusterDia28,ClusterDia29,ClusterDia30,ClusterDia31,ClusterDia32,ClusterDia33,ClusterDia34,ClusterDia35,ClusterDia36,ClusterDia37,ClusterDia38,ClusterDia39,ClusterDia40,ClusterDia41,ClusterDia42,ClusterDia43,ClusterDia44,ClusterDia45,ClusterDia46,ClusterDia47,ClusterDia48,ClusterDia49,ClusterDia50,ClusterDia51,ClusterDia52,ClusterDia53,ClusterDia54,ClusterDia55,ClusterDia56,ClusterDia57,ClusterDia58,ClusterDia59,ClusterDia60,ClusterDia61,ClusterDia62,ClusterDia63,ClusterDia64,ClusterDia65,ClusterDia66,ClusterDia67,ClusterDia68,ClusterDia69,ClusterDia70,ClusterDia71,ClusterDia72,ClusterDia73,ClusterDia74,ClusterDia75,ClusterDia76,ClusterDia77,ClusterDia78,ClusterDia79,ClusterDia80,ClusterDia81,ClusterDia82,ClusterDia83,ClusterDia84,ClusterDia85,ClusterDia86,ClusterDia87,ClusterDia88,ClusterDia89,ClusterDia90,ClusterDia91,ClusterDia92,ClusterDia93,ClusterDia94,ClusterDia95,ClusterDia96,ClusterDia97,ClusterDia98,ClusterDia99,ClusterDia100,ClusterDia101,ClusterDia102,ClusterDia103,ClusterDia104,ClusterDia105,ClusterDia106,ClusterDia107,ClusterDia108,ClusterDia109,ClusterDia110,ClusterDia111,ClusterDia112,ClusterDia113,ClusterDia114,ClusterDia115,ClusterDia116,ClusterDia117,ClusterDia118,ClusterDia119,ClusterDia120,ClusterDia121,ClusterDia122,ClusterDia123,ClusterDia124,ClusterDia125,ClusterDia126,ClusterDia127,ClusterDia128,ClusterDia129,ClusterDia130,ClusterDia131,ClusterDia132,ClusterDia133,ClusterDia134,ClusterDia135,ClusterDia136,ClusterDia137,ClusterDia138,ClusterDia139,ClusterDia140,ClusterDia141,ClusterDia142,ClusterDia143,ClusterDia144,ClusterDia145,ClusterDia146,ClusterDia147,ClusterDia148,ClusterDia149,ClusterDia150,ClusterDia151,ClusterDia152,ClusterDia153,ClusterDia154,ClusterDia155,ClusterDia156,ClusterDia157,ClusterDia158,ClusterDia159,ClusterDia160,ClusterDia161,ClusterDia162,ClusterDia163,ClusterDia164,ClusterDia165,ClusterDia166,ClusterDia167,ClusterDia168,ClusterDia169,ClusterDia170,ClusterDia171,ClusterDia172,ClusterDia173,ClusterDia174,ClusterDia175,ClusterDia176,ClusterDia177,ClusterDia178,ClusterDia179,ClusterDia180,ClusterDia181,ClusterDia182,ClusterDia183,ClusterDia184,ClusterDia185,ClusterDia186,ClusterDia187,ClusterDia188,ClusterDia189,ClusterDia190,ClusterDia191,ClusterDia192,ClusterDia193,ClusterDia194,ClusterDia195,ClusterDia196,ClusterDia197,ClusterDia198,ClusterDia199,ClusterDia200,ClusterDia201,ClusterDia202,ClusterDia203,ClusterDia204,ClusterDia205,ClusterDia206,ClusterDia207,ClusterDia208,ClusterDia209,ClusterDia210,ClusterDia211,ClusterDia212,ClusterDia213,ClusterDia214,ClusterDia215,ClusterDia216,ClusterDia217,ClusterDia218,ClusterDia219,ClusterDia220,ClusterDia221,ClusterDia222,ClusterDia223,ClusterDia224,ClusterDia225,ClusterDia226,ClusterDia227,ClusterDia228,ClusterDia229,ClusterDia230,ClusterDia231,ClusterDia232,ClusterDia233,ClusterDia234,ClusterDia235,ClusterDia236,ClusterDia237,ClusterDia238,ClusterDia239,ClusterDia240,ClusterDia241,ClusterDia242,ClusterDia243,ClusterDia244,ClusterDia245,ClusterDia246,ClusterDia247,ClusterDia248,ClusterDia249,ClusterDia250,ClusterDia251,ClusterDia252,ClusterDia253,ClusterDia254,ClusterDia255,ClusterDia256,ClusterDia257,ClusterDia258,ClusterDia259,ClusterDia260,ClusterDia261,ClusterDia262,ClusterDia263,ClusterDia264,ClusterDia265,ClusterDia266,ClusterDia267,ClusterDia268,ClusterDia269,ClusterDia270,ClusterDia271,ClusterDia272,ClusterDia273,ClusterDia274,ClusterDia275,ClusterDia276,ClusterDia277,ClusterDia278,ClusterDia279,ClusterDia280,ClusterDia281,ClusterDia282,ClusterDia283,ClusterDia284,ClusterDia285,ClusterDia286,ClusterDia287,ClusterDia288,ClusterDia289,ClusterDia290,ClusterDia291,ClusterDia292,ClusterDia293,ClusterDia294,ClusterDia295,ClusterDia296,ClusterDia297,ClusterDia298,ClusterDia299,ClusterDia300,ClusterDia301,ClusterDia302,ClusterDia303,ClusterDia304,ClusterDia305,ClusterDia306,ClusterDia307,ClusterDia308,ClusterDia309,ClusterDia310,ClusterDia311,ClusterDia312,ClusterDia313,ClusterDia314,ClusterDia315,ClusterDia316,ClusterDia317,ClusterDia318,ClusterDia319,ClusterDia320,ClusterDia321,ClusterDia322,ClusterDia323,ClusterDia324,ClusterDia325,ClusterDia326,ClusterDia327,ClusterDia328,ClusterDia329,ClusterDia330,ClusterDia331,ClusterDia332,ClusterDia333,ClusterDia334,ClusterDia335,ClusterDia336,ClusterDia337,ClusterDia338,ClusterDia339,ClusterDia340,ClusterDia341,ClusterDia342,ClusterDia343,ClusterDia344,ClusterDia345,ClusterDia346,ClusterDia347,ClusterDia348,ClusterDia349,ClusterDia350,ClusterDia351,ClusterDia352,ClusterDia353,ClusterDia354,ClusterDia355,ClusterDia356,ClusterDia357,ClusterDia358,ClusterDia359,ClusterDia360,ClusterDia361,ClusterDia362,ClusterDia363,ClusterDia364,ClusterDia365,ClusterDia366,ClusterDia367,ClusterDia368,ClusterDia369,ClusterDia370,ClusterDia371,ClusterDia372,ClusterDia373,ClusterDia374,ClusterDia375,ClusterDia376,ClusterDia377,ClusterDia378,ClusterDia379,ClusterDia380,ClusterDia381,ClusterDia382,ClusterDia383,ClusterDia384,ClusterDia385,ClusterDia386,ClusterDia387,ClusterDia388,ClusterDia389,ClusterDia390,ClusterDia391,ClusterDia392,ClusterDia393,ClusterDia394,ClusterDia395,ClusterDia396,ClusterDia397,ClusterDia398,ClusterDia399,ClusterDia400
1000,A,F,F,A,L,F,A,F,F,F,F,F,L,F,F,F,F,L,F,F,F,A,F,F,F,F,F,F,D,F,F,T,F,F,T,F,F,F,F,G,F,A,A,F,F,A,L,F,F,F,F,F,F,F,F,F,F,F,D,F,F,L,A,A,F,L,F,F,F,K,A,F,F,F,A,A,D,D,A,F,A,F,F,A,F,F,F,F,A,F,A,F,A,A,F,A,A,A,F,F,F,F,F,A,F,A,A,A,F,K,A,F,F,F,A,A,A,D,F,F,F,F,F,F,F,G,F,F,A,F,A,F,F,F,F,F,F,D,F,F,F,L,L,L,A,A,A,L,A,A,A,L,A,F,F,F,F,A,F,D,F,A,A,A,K,F,L,A,A,L,L,L,L,A,A,A,A,T,A,D,A,A,A,A,A,A,M,F,A,F,A,A,A,D,F,F,F,F,F,A,D,F,A,A,F,F,A,F,F,F,A,D,F,F,F,F,F,A,A,F,A,F,F,F,A,A,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,G,F,A,F,A,A,A,F,F,F,F,G,F,F,F,F,F,A,A,F,F,A,F,F,F,F,M,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,K,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F
1001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,T,L,L,L,L,L,T,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1004,G,U,Q,M,L,S,U,Q,K,K,S,Q,Q,Q,K,Q,Q,S,M,U,M,U,J,R,P,Q,A,R,K,M,Q,U,M,R,H,F,F,F,F,F,Q,Q,H,U,M,D,Q,H,R,U,J,Q,Q,R,U,S,S,U,U,M,I,R,U,K,S,S,S,Q,U,U,S,U,U,Q,I,I,U,U,S,U,M,U,U,S,R,U,Q,Q,Q,U,J,U,J,S,U,H,U,U,U,K,Q,Q,J,U,Q,H,S,R,M,U,U,U,Q,U,Q,S,J,K,U,U,U,U,Q,R,Q,U,K,U,K,D,U,U,U,U,U,Q,U,U,U,U,U,U,K,K,S,R,U,U,U,S,K,S,U,U,U,U,U,Q,U,J,Q,U,U,S,J,H,I,U,S,U,K,U,S,I,K,U,S,S,U,U,S,U,U,K,U,Q,K,S,U,U,U,Q,K,U,U,S,Q,U,S,Q,S,S,Q,S,Q,U,Q,R,U,Q,Q,S,Q,K,I,S,Q,U,U,K,Q,U,U,Q,U,Q,U,R,H,Q,U,Q,U,Q,U,K,K,Q,U,M,Q,Q,S,U,U,S,U,K,Q,S,U,S,S,K,Q,Q,Q,S,K,Q,S,M,Q,Q,J,Q,U,Q,S,J,U,K,Q,Q,Q,Q,K,U,Q,Q,Q,Q,Q,Q,T,A,Q,K,Q,Q,D,S,H,Q,Q,U,Q,K,K,U,Q,U,S,Q,M,K,Q,U,S,Q,S,K,J,J,U,Q,S,H,U,Q,J,U,K,S,U,Q,R,Q,U,U,Q,S,U,D,U,Q,L,D,R,R,L,A,A,L,S,J,S,K,K,S,R,J,A,K,R,S,K,R,U,M,R,Q,A,S,M,U,S,U,R,K,Q,Q,U,I,U,U,U,U,Q,U,U,D,K,U,U,U,R,U,U,M,U,J,Q,U,U,M,Q,L,U,S
1006,F,D,A,A,F,F,F,D,F,D,A,F,F,F,F,A,F,L,A,D,A,D,F,F,F,L,A,A,F,A,F,D,F,F,D,A,A,D,F,L,F,A,D,F,F,D,F,A,A,A,L,A,F,K,F,A,L,F,A,F,A,A,D,A,A,F,A,L,A,A,F,F,A,A,A,A,A,Q,A,K,A,A,A,A,A,D,Q,Q,D,A,D,K,F,A,D,M,K,K,A,D,A,Q,A,D,D,K,D,A,D,D,D,D,A,A,Q,Q,D,A,D,K,K,K,Q,U,L,A,A,Q,L,F,D,K,D,A,D,D,M,S,D,K,K,K,K,K,M,D,A,K,K,K,S,S,D,D,K,D,K,A,D,K,A,A,D,U,H,Q,K,K,S,U,S,S,S,Q,S,K,U,S,Q,S,U,K,K,K,K,Q,D,S,Q,K,K,K,U,D,M,S,K,K,K,U,K,K,K,K,K,K,U,R,Q,K,K,K,K,U,S,A,D,K,K,K,K,M,A,K,K,K,K,K,D,Q,K,D,K,Q,Q,D,A,Q,K,K,A,Q,D,A,D,L,D,D,K,A,K,Q,A,D,D,Q,D,A,Q,Q,D,A,Q,A,Q,K,K,D,A,L,F,A,A,A,A,A,F,F,A,D,L,A,A,A,A,F,D,D,F,F,A,D,L,A,M,Q,A,D,F,A,D,D,A,K,D,D,F,A,A,A,A,D,A,F,D,F,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,K,F,L,F,F,D,F,M,A,A,A,D,D,D,A,A,D,A,A,A,A,L,L,D,F,D,F,A,L,A,A,D,F,D,D,F,A,A,D,A,D,A,D,F,K,D
1008,Q,D,D,L,D,Q,D,L,D,A,L,Q,L,R,A,K,A,D,A,D,J,J,L,L,Q,L,F,F,F,F,F,A,K,T,R,D,D,K,A,M,M,D,D,D,M,D,A,M,D,A,D,K,K,A,A,D,D,K,D,K,K,M,J,A,D,Q,K,A,S,L,G,T,A,D,D,S,D,D,A,T,M,L,S,L,G,D,K,Q,L,S,K,D,D,T,D,K,M,A,Q,D,L,M,L,D,K,S,A,M,A,D,S,S,I,Q,K,Q,M,S,S,A,K,M,Q,M,U,I,Q,T,K,K,A,M,S,K,S,A,A,M,S,I,T,S,S,I,Q,S,L,D,I,T,U,K,S,R,H,Q,S,U,S,S,Q,U,P,A,P,M,K,R,K,M,I,K,K,I,S,I,T,I,I,A,J,A,S,J,K,R,R,S,K,D,R,A,K,K,S,S,R,K,Q,S,J,J,S,U,D,G,T,K,K,A,D,K,S,K,U,K,I,K,D,A,T,Q,K,T,K,R,K,T,M,H,I,K,R,L,A,M,S,K,M,D,I,T,R,J,K,K,A,J,A,A,Q,D,K,T,L,A,G,L,Q,R,Q,T,G,K,R,A,K,L,L,D,K,M,A,D,S,A,K,K,J,D,A,J,A,A,R,S,A,G,D,K,L,D,D,J,L,A,T,T,L,M,A,A,D,L,A,L,T,D,G,L,D,A,A,A,D,Q,A,T,D,D,Q,D,A,A,A,T,K,L,K,D,K,T,Q,L,M,D,A,A,A,D,L,M,A,A,D,A,D,L,A,L,L,L,A,A,D,K,D,L,G,D,L,A,L,L,D,K,A,A,M,Q,A,L,A,L,A,Q,A,A,A,A,L,L,A,D,Q,A,A,K,A,J,S,J,K,L,A,D,L,D,A,A
1009,S,M,H,Q,K,D,D,S,M,R,S,U,M,M,Q,M,S,M,K,M,Q,M,Q,M,S,S,H,S,D,H,S,S,U,K,Q,S,S,S,S,S,M,M,Q,J,R,S,S,S,S,R,Q,S,Q,H,S,M,M,Q,U,Q,S,M,M,M,S,S,S,U,M,D,S,R,S,S,U,U,S,Q,J,R,Q,M,S,S,S,S,K,H,H,U,S,K,S,S,R,R,H,Q,S,S,S,Q,H,R,H,H,S,H,R,U,U,S,S,S,S,U,S,U,S,R,S,S,S,S,H,S,S,S,S,S,S,H,S,S,S,H,S,S,U,S,S,S,J,S,H,H,S,S,S,S,Q,H,S,S,U,S,S,U,R,U,S,U,R,H,H,H,I,I,U,U,U,S,S,S,S,S,S,H,M,S,S,S,S,U,Q,S,S,S,S,S,S,S,S,S,S,M,S,S,S,S,K,S,S,S,S,S,S,S,S,S,H,S,K,D,Q,M,S,K,S,K,S,Q,M,D,M,S,D,K,S,S,D,Q,S,Q,S,K,S,K,S,Q,S,D,M,M,D,S,L,Q,D,Q,S,S,K,S,S,U,K,M,K,Q,D,Q,D,M,S,D,K,D,Q,A,A,M,R,S,A,K,S,L,D,A,K,A,S,S,Q,M,M,K,Q,M,M,L,M,M,K,D,A,D,K,R,Q,D,Q,K,Q,L,L,K,K,K,Q,L,Q,Q,M,A,A,K,A,L,R,D,A,A,M,A,K,M,D,M,K,Q,D,M,D,D,K,K,M,M,K,M,Q,A,A,A,D,K,M,D,S,A,M,K,K,L,D,A,D,D,D,Q,M,K,D,S,M,M,S,A,M,K,M,A,M,S,M,A,A,A,D,D,K,M,D,Q,D,M,S,D,K,Q,D,M,S,Q,Q,R,Q,M
1010,T,T,S,G,R,J,Q,J,F,A,J,J,R,G,A,S,G,J,L,F,K,I,J,R,G,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,M,H,T,S,S,T,K,Q,H,T,T,T,T,J,G,R,T,T,T,T,J,G,H,T,T,T,T,T,U,J,K,T,S,Q,R,G,S,T,T,T,T,J,S,P,T,H,R,S,R,U,S,T,G,T,T,G,J,J,J,U,G,S,J,G,R,S,T,S,T,S,S,S,T,S,K,S,H,K,H,T,T,T,T,G,K,I,S,S,G,T,J,K,H,S,S,U,T,S,G,J,S,S,S,D,U,H,J,S,S,S,T,S,S,S,Q,Q,U,H,P,S,P,U,S,S,H,R,R,S,U,K,P,T,G,R,R,S,M,T,S,S,R,R,S,R,T,S,P,F,K,T,T,K,Q,G,K,H,T,T,T,D,T,G,S,S,Q,K,D,K,A,G,A,L,F,A,R,S,R,K,K,Q,U,K,G,S,K,Q,K,Q,T,K,G,S,D,Q,T,J,K,T,K,T,J,T,D,G,J,T,T,Q,T,M,K,L,G,T,T,S,G,R,P,R,G,J,A,G,L,J,K,T,T,T,G,K,K,T,T,A,T,G,D,J,D,K,T,D,K,Q,R,M,T,T,T,T,M,J,T,Q,Q,T,L,K,J,T,D,A,T,G,Q,D,T,Q,T,T,G,T,J,T,D,K,T,G,G,R,D,J,Q,Q,K,F,Q,T,Q,T,G,T,L,K,T,Q,T,T,R,G,J,T,T,J,G,F,F,A,J,J,J,R,J,K,R,Q,T,T,S,S,J,M,K,G,T,T,T,L,F,L,Q,K,T,D,L,F,D,S,G,K,G,J,F,F,F,F,F,F,F,F,F,F
1013,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,A,F,M,F,F,F,F,F,A,F,F,A,F,F,F,D,F,F,F,F,F,F,F,F,A,F,F,F,F,F,D,F,F,F,F,A,F,F,A,F,F,F,F,F,F,A,F,F,G,F,F,F,F,F,F,K,K,K,F,F,F,A,L,F,F,F,F,F,A,D,D,F,F,F,F,F,A,A,A,F,A,F,L,D,L,F,F,A,F,F,A,D,A,F,F,F,F,A,A,F,M,A,F,F,D,A,A,L,F,F,D,A,F,A,F,A,F,F,A,K,M,L,F,F,F,F,F,D,F,F,F,F,A,A,F,F,F,F,F,F,M,F,F,F,F,F,F,F,A,F,A,D,K,A,M,A,L,F,A,A,D,L,D,F,F,F,A,A,F,A,D,F,F,F,L,A,F,A,A,A,L,A,A,A,L,A,A,F,A,A,L,Q,G,A,D,A,A,A,D,A,A,F,D,A,L,F,F,A,A,F,A,F,F,F,F,A,A,F,A,L,A,A,F,A,F,A,A,L,F,F,F,F,F,L,F,F,F,F,F,D,F,A,F,F,F,F,L,A,F,F,F,L,F,F,A,F,F,F,D,F,L,A,F,A,F,A,A,A,K,F,F,F,F,A,A,F,F,F,A,A,A,A,A,F,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,A,F,A,F,F,F,F,F,F,F,A,F,F,F,F,F,F,A,A,F,A,A,A,F,A,F,F,F,F,F,F,F,F,A,F,F,F,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,L,L,F,F,F,F,F,F,F,A,F,F,F,F
1014,J,J,K,K,M,K,A,M,K,G,R,Q,A,L,M,R,T,T,K,M,Q,M,T,A,D,F,G,G,M,L,F,A,L,M,M,A,M,Q,L,D,Q,Q,K,M,S,L,K,G,A,J,M,K,A,K,J,A,G,D,K,D,K,L,J,A,K,L,K,Q,D,Q,A,R,D,Q,K,L,M,K,J,J,T,M,M,Q,M,F,F,F,F,F,F,F,K,Q,Q,G,D,Q,A,K,A,K,K,Q,R,Q,K,K,A,R,U,A,T,K,T,K,Q,G,K,Q,K,Q,K,Q,K,Q,K,Q,K,Q,R,H,D,K,Q,K,T,S,S,K,K,D,T,T,S,R,T,K,Q,Q,T,K,Q,Q,U,M,U,Q,U,Q,Q,U,U,M,G,T,K,T,U,T,T,R,Q,U,U,Q,Q,K,U,U,Q,K,U,Q,T,Q,K,K,D,Q,T,K,Q,K,K,Q,T,K,Q,U,U,I,T,A,S,T,K,K,D,T,T,K,T,Q,K,A,T,A,K,A,T,Q,Q,T,K,K,A,K,D,G,Q,T,T,D,U,Q,U,Q,T,K,T,D,Q,Q,Q,T,K,L,F,F,K,Q,Q,Q,Q,K,M,R,A,A,K,R,L,D,Q,D,A,L,A,K,D,L,Q,A,A,A,Q,Q,K,A,L,A,Q,M,M,K,T,A,T,D,K,L,L,D,T,A,T,M,Q,D,Q,Q,F,F,F,F,F,F,F,A,M,L,D,Q,A,F,A,A,M,D,L,A,K,A,A,D,L,A,A,A,D,F,F,D,M,A,A,A,D,A,L,K,F,F,Q,A,K,D,D,A,A,K,A,A,D,D,A,A,D,F,Q,L,A,F,F,F,F,D,M,G,Q,A,Q,L,D,D,A,A,K,D,A,Q,J,D,K,A,A,A,A,G,Q,T,K,A,F,Q,M,M,A,A
1015,L,A,A,A,A,L,A,A,A,A,D,A,A,A,A,A,A,A,L,L,A,A,A,F,L,L,A,L,L,A,A,A,A,L,A,A,L,A,A,L,D,A,D,K,D,A,A,A,A,A,A,A,A,A,L,A,A,A,A,A,A,A,A,A,A,A,A,D,L,A,A,A,A,A,L,M,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,D,L,L,A,A,D,A,L,G,A,A,A,L,A,M,A,A,A,A,L,G,L,A,A,A,A,A,D,L,D,G,L,L,D,A,A,L,A,A,D,A,Q,D,A,A,T,A,U,K,Q,K,Q,K,K,K,U,R,K,K,K,Q,S,R,D,K,A,D,Q,D,A,A,A,A,A,A,D,D,A,A,D,A,D,A,A,D,A,D,A,D,L,L,L,A,A,D,A,L,A,M,G,A,A,G,A,L,A,A,A,A,L,D,A,A,A,A,A,A,L,A,A,A,L,L,L,F,A,L,A,L,A,A,A,L,A,A,K,A,D,A,L,L,A,A,A,A,L,L,G,A,D,A,A,A,A,A,A,A,A,A,A,A,A,L,A,A,L,L,D,D,G,A,A,A,D,J,A,A,A,K,A,D,M,D,G,A,A,A,L,L,L,L,A,G,A,L,L,L,G,A,G,A,G,A,L,A,A,G,A,G,G,R,G,G,G,A,G,A,L,L,A,A,A,T,L,L,D,A,A,A,L,A,L,A,T,D,A,A,G,D,G,K,T,A,A,G,T,T,T,A,D,M,G,G,T,T,M,D,G,T,A,A,A,G,A,L,L,L,A,A,G,L,L,F,M,F,D,L,F,L,L,L,L,L,D,L,A,L,L,D,L,M,G,T,J,L,L,L
